OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
44,35,1,34,0,124094526.2,59356.04563,238,8,16,1,3,10,10-Oct,10010,10,10,59356.04771,195,PRIVATE,10-10 River Falls Swim Club,220,1251746.014,482124.8082,10-Oct,River Falls Swim Club, 7915 Horseshoe Ln Potomac MD 20854,-77.21316179,38.99030869,POTOMAC MD 20854,7915 HORSESHOE LN,-77.21316179,59356.04771,124094525.8,38.99030869
45,36,1,35,0,56640138.51,35714.77636,237,8,16,1,3,7,15-Jul,7015,7,15,35714.7769,19,MIDDLE SCHOOLS,07-15 Thomas W Pyle MS,204,1275492.25,481545.6876,15-Jul,Thomas W Pyle MS, 6311 Wilson Ln Bethesda MD 20817,-77.12961367,38.988841,BETHESDA MD 20817,6311 WILSON LN,-77.12961367,35714.7769,56640138.42,38.988841
46,37,1,36,0,9550772.939,17227.81724,236,8,20,5,4,13,13-13,13013,13,13,17227.81742,117,ELEMENTARY SCHOOLS,13-13 Highland View ES,130,1309389.875,487132.1562,13-13,Highland View ES, 9010 Providence Ave Silver Spring MD 20901,-77.01035786,39.00425113,Silver Spring MD 20901,9010 Providence Ave,-77.01035786,17227.81742,9550772.986,39.00425113
47,38,1,37,0,25486469.34,27117.97221,235,8,18,1,3,7,16-Jul,7016,7,16,27117.97311,13,ELEMENTARY SCHOOLS,07-16 North Chevy Chase ES,71,1291464,485144.3125,16-Jul,North Chevy Chase ES, 3700 Jones Bridge Rd Chevy Chase MD 20815,-77.07343235,38.99877053,Chevy Chase MD 20815,3700 Jones Bridge Rd,-77.07343235,27117.97311,25486469.2,38.99877053
48,39,1,38,0,13590587.72,15759.43449,234,8,20,5,4,13,13-18,13018,13,18,15759.43507,118,ELEMENTARY SCHOOLS,13-18 Oak View ES,262,1311646.875,487232.1249,13-18,Oak View ES, 400 E Wayne Ave Silver Spring MD 20901,-77.00241562,39.00452605,SILVER SPRING MD 20901,400 E WAYNE AVE,-77.00241562,15759.43507,13590587.79,39.00452605
49,40,1,39,0,16150538.05,18070.03315,233,8,18,5,4,13,13-07,13007,13,7,18070.0333,147,ELEMENTARY SCHOOLS,13-07 Woodlin ES,128,1299042.375,487968.0626,13-07,Woodlin ES, 2101 Luzerne Ave Silver Spring MD 20910,-77.04677163,39.00653739,Silver Spring MD 20910,2101 Luzerne Ave,-77.04677163,18070.0333,16150538.06,39.00653739
50,41,1,40,0,99526038.69,57764.27843,232,8,16,1,3,10,7-Oct,10007,10,7,57764.27941,22,ELEMENTARY SCHOOLS,10-07 Carderock Springs ES,255,1263508.875,479545.8124,7-Oct,Carderock Springs ES, 7401 Persimmon Tree Ln Bethesda MD 20817,-77.17176005,38.98329563,BETHESDA MD 20817,7401 PERSIMMON TREE LN,-77.17176005,57764.27941,99526038.85,38.98329563
51,74,1,73,0,13190421.33,17702.91898,199,8,18,4,4,13,13-32,13032,13,32,17702.91927,122,ELEMENTARY SCHOOLS,13-32 Glen Haven ES,141,1301832.833,497819.5174,13-32,Glen Haven ES, 10900 Inwood Ave Silver Spring MD 20902,-77.03696589,39.03358992,Silver Spring MD 20902,10900 Inwood Ave,-77.03696589,17702.91927,13190421.18,39.03358992
52,75,1,74,0,25514136.95,22744.74491,198,6,15,1,3,10,12-Oct,10012,10,12,22744.74499,48,ELEMENTARY SCHOOLS,10-12 Bells Mill ES,118,1264400.125,497286.9686,12-Oct,Bells Mill ES, 8225 Bells Mill Rd Potomac MD 20854,-77.16874009,39.03201191,Potomac MD 20854,8225 Bells Mill Rd,-77.16874009,22744.74499,25514136.96,39.03201191
53,76,1,75,0,12695538.88,16222.8308,197,3,20,5,5,5,10-May,5010,5,10,16222.83097,2,ELEMENTARY SCHOOLS,05-10 Cresthaven ES,44,1315564.014,495687.5139,10-May,Cresthaven ES, 1234 Cresthaven Dr Silver Spring MD 20903,-76.98862767,39.0277414,Silver Spring MD 20903,1234 Cresthaven Dr,-76.98862767,16222.83097,12695539.09,39.0277414
54,77,1,76,0,16401569.39,19776.37039,196,8,18,4,4,13,13-40,13040,13,40,19776.37067,113,ELEMENTARY SCHOOLS,13-40 Rock View ES,145,1290464,499984.2499,13-40,Rock View ES, 3901 Denfeld Ave Kensington MD 20895,-77.07699506,39.0395141,Kensington MD 20895,3901 Denfeld Ave,-77.07699506,19776.37067,16401569.61,39.0395141
55,78,1,77,0,15188500.98,18216.37614,195,8,19,4,4,13,13-33,13033,13,33,18216.37567,120,ELEMENTARY SCHOOLS,13-33 Kemp Mill ES,142,1307491.625,501477.4999,13-33,Kemp Mill ES, 411 Sisson St Silver Spring MD 20902,-77.01704712,39.04363816,Silver Spring MD 20902,411 Sisson St,-77.01704712,18216.37567,15188500.97,39.04363816
56,56,1,55,0,76028057.9,37161.03585,217,6,16,1,3,10,9-Oct,10009,10,9,37161.03511,194,PRIVATE,10-09 Our Lady of Mercy School,114,1262830.826,489017.7309,9-Oct,Our Lady of Mercy School, 9222 Kentsdale Dr Potomac MD 20854,-77.17420895,39.00929912,Potomac MD 20854,9222 Kentsdale Dr,-77.17420895,37161.03511,76028057.6,39.00929912
57,57,1,56,0,9356550.918,15412.33564,216,8,18,5,4,13,13-31,13031,13,31,15412.33541,121,ELEMENTARY SCHOOLS,13-31 Oakland Terrace ES,140,1296029.375,496012.2187,13-31,Oakland Terrace ES, 2720 Plyers Mill Rd Silver Spring MD 20902,-77.05739234,39.02861942,Silver Spring MD 20902,2720 Plyers Mill Rd,-77.05739234,15412.33541,9356550.913,39.02861942
58,58,1,57,0,22061092.13,22217.22138,215,8,20,5,4,13,13-23,13023,13,23,22217.22213,119,ELEMENTARY SCHOOLS,13-23 Pine Crest ES,136,1310902.125,493345.375,13-23,Pine Crest ES, 201 Woodmoor Dr Silver Spring MD 20901,-77.00503755,39.02131107,Silver Spring MD 20901,201 Woodmoor Dr,-77.00503755,22217.22213,22061092.02,39.02131107
59,59,1,58,0,21348958.32,21292.95069,214,8,16,1,3,7,25-Jul,7025,7,25,21292.95085,158,CENTER,07-25 Grosvenor School Center,206,1279923.303,494122.7226,25-Jul,"Grosvenor, Alef Bet Montessori School", 5701 Grosvenor Ln Bethesda MD 20814,-77.11407973,39.02338993,BETHESDA MD 20814,5701 GROSVENOR LN,-77.11407973,21292.95085,21348958.49,39.02338993
60,60,1,59,0,11455222.09,15594.14168,213,8,18,4,4,13,13-53,13053,13,53,15594.14172,127,MIDDLE SCHOOLS,13-53 Sligo MS,153,1302993.25,495338.4062,13-53,Sligo MS, 1401 Dennis Ave Silver Spring MD 20902,-77.03287762,39.0267788,Silver Spring MD 20902,1401 Dennis Ave,-77.03287762,15594.14172,11455222.23,39.0267788
61,61,1,60,0,35237553.75,30739.02783,212,8,18,1,3,13,13-38,13038,13,38,30739.02678,232,ELEMENTARY SCHOOLS,13-38 Kensington Parkwood ES,257,1285368.25,493535.8436,13-38,Kensington Parkwood ES,4710 Saul Rd Kensington MD 20895,-77.09491199,39.02179566,Kensington MD 20895,4710 Saul Rd,-77.09491199,30739.02678,35237553.32,39.02179566
62,62,1,61,0,8900875.459,18609.49581,211,8,16,1,3,4,Apr-31,4031,4,31,18609.49582,10,HIGH SCHOOLS,04-31 Walter Johnson HS,30,1275372.5,494857.9374,Apr-31,Walter Johnson HS, 6400 Rock Spring Dr Bethesda MD 20814,-77.13010172,39.02539189,Bethesda MD 20814,6400 Rock Spring Dr,-77.13010172,18609.49582,8900875.421,39.02539189
63,63,1,62,0,11235139.75,20207.4931,210,8,18,1,3,4,4-Apr,4004,4,4,20207.492,165,PRIVATE,04-04 Parkside Clubhouse North,177,1284922.908,496258.5233,4-Apr,Parkside Clubhouse North, 10522 Montrose Ave Bethesda MD 20814,-77.09648963,39.02926999,BETHESDA MD 20814,10522 MONTROSE AVE,-77.09648963,20207.492,11235139.64,39.02926999
